English short,Spanish short,English formal,Spanish formal,,,,,,,,,,,,,
Afghanistan,Afganistán (el),the Islamic Republic of Afghanistan,la República Islámica del Afganistán,,,,,,,,,,,,,
Albania,Albania,the Republic of Albania,la República de Albania,,,,,,,,,,,,,
Algeria,Argelia,the People's Democratic Republic of Algeria,la República Argelina Democrática y Popular,,,,,,,,,,,,,
Andorra,Andorra,the Principality of Andorra,el Principado de Andorra,,,,,,,,,,,,,
Angola,Angola,the Republic of Angola,la República de Angola,,,,,,,,,,,,,
Antigua and Barbuda,Antigua y Barbuda,Antigua and Barbuda,Antigua y Barbuda,,,,,,,,,,,,,
Argentina,Argentina (la),the Argentine Republic,la República Argentina,,,,,,,,,,,,,
Armenia,Armenia,the Republic of Armenia,la República de Armenia,,,,,,,,,,,,,
Australia,Australia,Australia,Australia,,,,,,,,,,,,,
Austria,Austria,the Republic of Austria,la República de Austria,,,,,,,,,,,,,
Azerbaijan,Azerbaiyán,the Republic of Azerbaijan,la República de Azerbaiyán,,,,,,,,,,,,,
Bahamas (the),Bahamas (las),the Commonwealth of the Bahamas,el Commonwealth de las Bahamas,,,,,,,,,,,,,
Bahrain,Bahrein,the Kingdom of Bahrain,el Reino de Bahrein,,,,,,,,,,,,,
Bangladesh,Bangladesh,the People's Republic of Bangladesh,la República Popular de Bangladesh,,,,,,,,,,,,,
Barbados,Barbados,Barbados,Barbados,,,,,,,,,,,,,
Belarus,Belarús,the Republic of Belarus,la República de Belarús,,,,,,,,,,,,,
Belgium,Bélgica,the Kingdom of Belgium,el Reino de Bélgica,,,,,,,,,,,,,
Belize,Belice,Belize,Belice,,,,,,,,,,,,,
Benin,Benin,the Republic of Benin,la República de Benin,,,,,,,,,,,,,
Bhutan,Bhután,the Kingdom of Bhutan,el Reino de Bhután,,,,,,,,,,,,,
Bolivia (Plurinational State of),Bolivia (Estado Plurinacional de),the Plurinational State of Bolivia,el Estado Plurinacional de Bolivia,,,,,,,,,,,,,
Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,,,,,,,,,,,,,
Botswana,Botswana,the Republic of Botswana,la República de Botswana,,,,,,,,,,,,,
Brazil,Brasil (el),the Federative Republic of Brazil,la República Federativa del Brasil,,,,,,,,,,,,,
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,,,,,,,,,,,,,
Bulgaria,Bulgaria,the Republic of Bulgaria,la República de Bulgaria,,,,,,,,,,,,,
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,,,,,,,,,,,,,
Burundi,Burundi,the Republic of Burundi,la República de Burundi,,,,,,,,,,,,,
Cabo Verde,Cabo Verde,the Republic of Cabo Verde,la República de Cabo Verde,,,,,,,,,,,,,
Cambodia,Camboya,the Kingdom of Cambodia,el Reino de Camboya,,,,,,,,,,,,,
Cameroon,Camerún (el),the Republic of Cameroon,la República del Camerún,,,,,,,,,,,,,
Canada,Canadá (el),Canada,el Canadá,,,,,,,,,,,,,
Central African Republic (the),República Centroafricana (la),the Central African Republic,la República Centroafricana,,,,,,,,,,,,,
Chad,Chad (el),the Republic of Chad,la República del Chad,,,,,,,,,,,,,
Chile,Chile,the Republic of Chile,la República de Chile,,,,,,,,,,,,,
China,China,the People's Republic of China,la República Popular China,,,,,,,,,,,,,
Colombia,Colombia,the Republic of Colombia,la República de Colombia,,,,,,,,,,,,,
Comoros (the),Comoras (las),the Union of the Comoros,la Unión de las Comoras,,,,,,,,,,,,,
Congo (the),Congo (el),the Republic of the Congo,la República del Congo,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Costa Rica,Costa Rica,the Republic of Costa Rica,la República de Costa Rica,,,,,,,,,,,,,
Côte d'Ivoire,Côte d'Ivoire,the Republic of Côte d'Ivoire,la República de Côte d'Ivoire,,,,,,,,,,,,,
Croatia,Croacia,the Republic of Croatia,la República de Croacia,,,,,,,,,,,,,
Cuba,Cuba,the Republic of Cuba,la República de Cuba,,,,,,,,,,,,,
Cyprus,Chipre,the Republic of Cyprus,la República de Chipre,,,,,,,,,,,,,
Czechia,Chequia,the Czech Republic,la República Checa,,,,,,,,,,,,,
Democratic People's Republic of Korea (the),República Popular Democrática de Corea (la),the Democratic People's Republic of Korea,la República Popular Democrática de Corea,,,,,,,,,,,,,
Democratic Republic of the Congo (the),República Democrática del Congo (la),the Democratic Republic of the Congo,la República Democrática del Congo,,,,,,,,,,,,,
Denmark,Dinamarca,the Kingdom of Denmark,el Reino de Dinamarca,,,,,,,,,,,,,
Djibouti,Djibouti,the Republic of Djibouti,la República de Djibouti,,,,,,,,,,,,,
Dominica,Dominica,the Commonwealth of Dominica,el Commonwealth de Dominica,,,,,,,,,,,,,
Dominican Republic (the),República Dominicana (la),the Dominican Republic,la República Dominicana,,,,,,,,,,,,,
Ecuador,Ecuador (el),the Republic of Ecuador,la República del Ecuador,,,,,,,,,,,,,
Egypt,Egipto,the Arab Republic of Egypt,la República Árabe de Egipto,,,,,,,,,,,,,
El Salvador,El Salvador,the Republic of El Salvador,la República de El Salvador,,,,,,,,,,,,,
Equatorial Guinea,Guinea Ecuatorial,the Republic of Equatorial Guinea,la República de Guinea Ecuatorial,,,,,,,,,,,,,
Eritrea,Eritrea,the State of Eritrea,el Estado de Eritrea,,,,,,,,,,,,,
Estonia,Estonia,the Republic of Estonia,la República de Estonia,,,,,,,,,,,,,
Ethiopia,Etiopía,the Federal Democratic Republic of Ethiopia,la República Democrática Federal de Etiopía,,,,,,,,,,,,,
Fiji,Fiji,the Republic of Fiji,la República de Fiji,,,,,,,,,,,,,
Finland,Finlandia,the Republic of Finland,la República de Finlandia,,,,,,,,,,,,,
France,Francia,the French Republic,la República Francesa,,,,,,,,,,,,,
Gabon,Gabón (el),the Gabonese Republic,la República Gabonesa,,,,,,,,,,,,,
Gambia (the),Gambia,the Republic of the Gambia,la República de Gambia,,,,,,,,,,,,,
Georgia,Georgia,Georgia,Georgia,,,,,,,,,,,,,
Germany,Alemania,the Federal Republic of Germany,la República Federal de Alemania,,,,,,,,,,,,,
Ghana,Ghana,the Republic of Ghana,la República de Ghana,,,,,,,,,,,,,
Greece,Grecia,the Hellenic Republic,la República Helénica,,,,,,,,,,,,,
Grenada,Granada,Grenada,Granada,,,,,,,,,,,,,
Guatemala,Guatemala,the Republic of Guatemala,la República de Guatemala,,,,,,,,,,,,,
Guinea,Guinea,the Republic of Guinea,la República de Guinea,,,,,,,,,,,,,
Guinea-Bissau,Guinea-Bissau,the Republic of Guinea-Bissau,la República de Guinea-Bissau,,,,,,,,,,,,,
Guyana,Guyana,the Republic of Guyana,la República de Guyana,,,,,,,,,,,,,
Haiti,Haití,the Republic of Haiti,la República de Haití,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Honduras,Honduras,the Republic of Honduras,la República de Honduras,,,,,,,,,,,,,
Hungary,Hungría,Hungary,Hungría,,,,,,,,,,,,,
Iceland,Islandia,the Republic of Iceland,la República de Islandia,,,,,,,,,,,,,
India,India (la),the Republic of India,la República de la India,,,,,,,,,,,,,
Indonesia,Indonesia,the Republic of Indonesia,la República de Indonesia,,,,,,,,,,,,,
Iran (Islamic Republic of),Irán (República Islámica del),the Islamic Republic of Iran,la República Islámica del Irán,,,,,,,,,,,,,
Iraq,Iraq (el),the Republic of Iraq,la República del Iraq,,,,,,,,,,,,,
Ireland,Irlanda,Ireland,Irlanda,,,,,,,,,,,,,
Israel,Israel,the State of Israel,el Estado de Israel,,,,,,,,,,,,,
Italy,Italia,the Republic of Italy,la República Italiana,,,,,,,,,,,,,
Jamaica,Jamaica,Jamaica,Jamaica,,,,,,,,,,,,,
Japan,Japón (el),Japan,el Japón,,,,,,,,,,,,,
Jordan,Jordania,the Hashemite Kingdom of Jordan,el Reino Hachemita de Jordania,,,,,,,,,,,,,
Kazakhstan,Kazajstán,the Republic of Kazakhstan,la República de Kazajstán,,,,,,,,,,,,,
Kenya,Kenya,the Republic of Kenya,la República de Kenya,,,,,,,,,,,,,
Kiribati,Kiribati,the Republic of Kiribati,la República de Kiribati,,,,,,,,,,,,,
Kuwait,Kuwait,the State of Kuwait,el Estado de Kuwait,,,,,,,,,,,,,
Kyrgyzstan,Kirguistán,the Kyrgyz Republic,la República Kirguisa,,,,,,,,,,,,,
Lao People's Democratic Republic (the),República Democrática Popular Lao (la),the Lao People's Democratic Republic,la República Democrática Popular Lao,,,,,,,,,,,,,
Latvia,Letonia,the Republic of Latvia,la República de Letonia,,,,,,,,,,,,,
Lebanon,Líbano (el),the Lebanese Republic,la República Libanesa,,,,,,,,,,,,,
Lesotho,Lesotho,the Kingdom of Lesotho,el Reino de Lesotho,,,,,,,,,,,,,
Liberia,Liberia,the Republic of Liberia,la República de Liberia,,,,,,,,,,,,,
Libya,Libia,the State of Libya,el Estado de Libia,,,,,,,,,,,,,
Liechtenstein,Liechtenstein,the Principality of Liechtenstein,el Principado de Liechtenstein,,,,,,,,,,,,,
Lithuania,Lituania,the Republic of Lithuania,la República de Lituania,,,,,,,,,,,,,
Luxembourg,Luxemburgo,the Grand Duchy of Luxembourg,el Gran Ducado de Luxemburgo,,,,,,,,,,,,,
Madagascar,Madagascar,the Republic of Madagascar,la República de Madagascar,,,,,,,,,,,,,
Malawi,Malawi,the Republic of Malawi,la República de Malawi,,,,,,,,,,,,,
Malaysia,Malasia,Malaysia,Malasia,,,,,,,,,,,,,
Maldives,Maldivas,the Republic of Maldives,la República de Maldivas,,,,,,,,,,,,,
Mali,Malí,the Republic of Mali,la República de Malí,,,,,,,,,,,,,
Malta,Malta,the Republic of Malta,la República de Malta,,,,,,,,,,,,,
Marshall Islands (the),Islas Marshall (las),the Republic of the Marshall Islands,la República de las Islas Marshall,,,,,,,,,,,,,
Mauritania,Mauritania,the Islamic Republic of Mauritania,la República Islámica de Mauritania,,,,,,,,,,,,,
Mauritius,Mauricio,the Republic of Mauritius,la República de Mauricio,,,,,,,,,,,,,
Mexico,México,the United Mexican States,los Estados Unidos Mexicanos,,,,,,,,,,,,,
Micronesia (Federated States of),Micronesia (Estados Federados de),the Federated States of Micronesia,los Estados Federados de Micronesia,,,,,,,,,,,,,
Monaco,Mónaco,the Principality of Monaco,el Principado de Mónaco,,,,,,,,,,,,,
Mongolia,Mongolia,Mongolia,Mongolia,,,,,,,,,,,,,
Montenegro,Montenegro,Montenegro,Montenegro,,,,,,,,,,,,,
Morocco,Marruecos,the Kingdom of Morocco,el Reino de Marruecos,,,,,,,,,,,,,
Mozambique,Mozambique,the Republic of Mozambique,la República de Mozambique,,,,,,,,,,,,,
Myanmar,Myanmar,the Republic of the Union of Myanmar,la República de la Unión de Myanmar,,,,,,,,,,,,,
Namibia,Namibia,the Republic of Namibia,la República de Namibia,,,,,,,,,,,,,
Nauru,Nauru,the Republic of Nauru,la República de Nauru,,,,,,,,,,,,,
Nepal,Nepal,the Federal Democratic Republic of Nepal,la República Democrática Federal de Nepal,,,,,,,,,,,,,
Netherlands (the),Países Bajos (los),the Kingdom of the Netherlands,el Reino de los Países Bajos,,,,,,,,,,,,,
New Zealand,Nueva Zelandia,New Zealand,Nueva Zelandia,,,,,,,,,,,,,
Nicaragua,Nicaragua,the Republic of Nicaragua,la República de Nicaragua,,,,,,,,,,,,,
Niger (the),Níger (el),the Republic of the Niger,la República del Níger,,,,,,,,,,,,,
Nigeria,Nigeria,the Federal Republic of Nigeria,la República Federal de Nigeria,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Norway,Noruega,the Kingdom of Norway,el Reino de Noruega,,,,,,,,,,,,,
Oman,Omán,the Sultanate of Oman,la Sultanía de Omán,,,,,,,,,,,,,
Pakistan,Pakistán (el),the Islamic Republic of Pakistan,la República Islámica del Pakistán,,,,,,,,,,,,,
Palau,Palau,the Republic of Palau,la República de Palau,,,,,,,,,,,,,
Panama,Panamá,the Republic of Panama,la República de Panamá,,,,,,,,,,,,,
Papua New Guinea,Papua Nueva Guinea,the Independent State of Papua New Guinea,el Estado Independiente de Papua Nueva Guinea,,,,,,,,,,,,,
Paraguay,Paraguay (el),the Republic of Paraguay,la República del Paraguay,,,,,,,,,,,,,
Peru,Perú (el),the Republic of Peru,la República del Perú,,,,,,,,,,,,,
Philippines (the),Filipinas,the Republic of the Philippines,la República de Filipinas,,,,,,,,,,,,,
Poland,Polonia,the Republic of Poland,la República de Polonia,,,,,,,,,,,,,
Portugal,Portugal,the Portuguese Republic,la República Portuguesa,,,,,,,,,,,,,
Qatar,Qatar,the State of Qatar,el Estado de Qatar,,,,,,,,,,,,,
Republic of Korea (the),República de Corea (la),the Republic of Korea,la República de Corea,,,,,,,,,,,,,
Republic of Moldova (the),República de Moldova (la),the Republic of Moldova,la República de Moldova,,,,,,,,,,,,,
Romania,Rumania,Romania,Rumania,,,,,,,,,,,,,
Russian Federation (the),Federación de Rusia (la),the Russian Federation,la Federación de Rusia,,,,,,,,,,,,,
Rwanda,Rwanda,the Republic of Rwanda,la República de Rwanda,,,,,,,,,,,,,
Saint Kitts and Nevis,Saint Kitts y Nevis,Saint Kitts and Nevis,Saint Kitts y Nevis,,,,,,,,,,,,,
Saint Lucia,Santa Lucía,Saint Lucia,Santa Lucía,,,,,,,,,,,,,
Saint Vincent and the Grenadines,San Vicente y las Granadinas,Saint Vincent and the Grenadines,San Vicente y las Granadinas,,,,,,,,,,,,,
Samoa,Samoa,the Independent State of Samoa,el Estado Independiente de Samoa,,,,,,,,,,,,,
San Marino,San Marino,the Republic of San Marino,la República de San Marino,,,,,,,,,,,,,
Sao Tome and Principe,Santo Tomé y Príncipe,the Democratic Republic of Sao Tome and Principe,la República Democrática de Santo Tomé y Príncipe,,,,,,,,,,,,,
Saudi Arabia,Arabia Saudita (la),the Kingdom of Saudi Arabia,el Reino de la Arabia Saudita,,,,,,,,,,,,,
Senegal,Senegal (el),the Republic of Senegal,la República del Senegal,,,,,,,,,,,,,
Serbia,Serbia,the Republic of Serbia,la República de Serbia,,,,,,,,,,,,,
Seychelles,Seychelles,the Republic of Seychelles,la República de Seychelles,,,,,,,,,,,,,
Sierra Leone,Sierra Leona,the Republic of Sierra Leone,la República de Sierra Leona,,,,,,,,,,,,,
Singapore,Singapur,the Republic of Singapore,la República de Singapur,,,,,,,,,,,,,
Slovakia,Eslovaquia,the Slovak Republic,la República Eslovaca,,,,,,,,,,,,,
Slovenia,Eslovenia,the Republic of Slovenia,la República de Eslovenia,,,,,,,,,,,,,
Solomon Islands,Islas Salomón (las),Solomon Islands,las Islas Salomón,,,,,,,,,,,,,
Somalia,Somalia,the Federal Republic of Somalia,la República Federal de Somalia,,,,,,,,,,,,,
South Africa,Sudáfrica,the Republic of South Africa,la República de Sudáfrica,,,,,,,,,,,,,
South Sudan,Sudán del Sur,the Republic of South Sudan,la República de Sudán del Sur,,,,,,,,,,,,,
Spain,España,the Kingdom of Spain,el Reino de España,,,,,,,,,,,,,
Sri Lanka,Sri Lanka,the Democratic Socialist Republic of Sri Lanka,la República Socialista Democrática de Sri Lanka,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sudan (the),Sudán (el),the Republic of the Sudan,la República del Sudán,,,,,,,,,,,,,
Suriname,Suriname,the Republic of Suriname,la República de Suriname,,,,,,,,,,,,,
Swaziland,Swazilandia,the Kingdom of Swaziland,el Reino de Swazilandia,,,,,,,,,,,,,
Sweden,Suecia,the Kingdom of Sweden,el Reino de Suecia,,,,,,,,,,,,,
Switzerland,Suiza,the Swiss Confederation,la Confederación Suiza,,,,,,,,,,,,,
Syrian Arab Republic (the),República Árabe Siria (la),the Syrian Arab Republic,la República Árabe Siria,,,,,,,,,,,,,
Tajikistan,Tayikistán,the Republic of Tajikistan,la República de Tayikistán,,,,,,,,,,,,,
Thailand,Tailandia,the Kingdom of Thailand,el Reino de Tailandia,,,,,,,,,,,,,
the former Yugoslav Republic of Macedonia,ex República Yugoslava de Macedonia (la),the former Yugoslav Republic of Macedonia,la ex República Yugoslava de Macedonia,,,,,,,,,,,,,
Timor-Leste,Timor-Leste,the Democratic Republic of Timor-Leste,la República Democrática de Timor-Leste,,,,,,,,,,,,,
Togo,Togo (el),the Togolese Republic,la República Togolesa,,,,,,,,,,,,,
Tonga,Tonga,the Kingdom of Tonga,el Reino de Tonga,,,,,,,,,,,,,
Trinidad and Tobago,Trinidad y Tabago,the Republic of Trinidad and Tobago,la República de Trinidad y Tabago,,,,,,,,,,,,,
Tunisia,Túnez,the Republic of Tunisia,la República de Túnez,,,,,,,,,,,,,
Turkey,Turquía,the Republic of Turkey,la República de Turquía,,,,,,,,,,,,,
Turkmenistan,Turkmenistán,Turkmenistan,Turkmenistán,,,,,,,,,,,,,
Tuvalu,Tuvalu,Tuvalu,Tuvalu,,,,,,,,,,,,,
Uganda,Uganda,the Republic of Uganda,la República de Uganda,,,,,,,,,,,,,
Ukraine,Ucrania,Ukraine,Ucrania,,,,,,,,,,,,,
United Arab Emirates (the),Emiratos Árabes Unidos (los),the United Arab Emirates,los Emiratos Árabes Unidos,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Reino Unido de Gran Bretaña e Irlanda del Norte (el),the United Kingdom of Great Britain and Northern Ireland,el Reino Unido de Gran Bretaña e Irlanda del Norte,,,,,,,,,,,,,
United Republic of Tanzania (the),República Unida de Tanzanía (la),the United Republic of Tanzania,la República Unida de Tanzanía,,,,,,,,,,,,,
United States of America (the),Estados Unidos de América (los),the United States of America,los Estados Unidos de América,,,,,,,,,,,,,
Uruguay,Uruguay (el),the Eastern Republic of Uruguay,la República Oriental del Uruguay,,,,,,,,,,,,,
Uzbekistan,Uzbekistán,the Republic of Uzbekistan,la República de Uzbekistán,,,,,,,,,,,,,
Vanuatu,Vanuatu,the Republic of Vanuatu,la República de Vanuatu,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),the Bolivarian Republic of Venezuela,la República Bolivariana de Venezuela,,,,,,,,,,,,,
Viet Nam,Viet Nam,the Socialist Republic of Viet Nam,la República Socialista de Viet Nam,,,,,,,,,,,,,
Yemen,Yemen (el),the Republic of Yemen,la República del Yemen,,,,,,,,,,,,,
Zambia,Zambia,the Republic of Zambia,la República de Zambia,,,,,,,,,,,,,
Zimbabwe,Zimbabwe,the Republic of Zimbabwe,la República de Zimbabwe,,,,,,,,,,,,,
Holy See (the) *,Santa Sede (la) *,the Holy See,la Santa Sede,,,,,,,,,,,,,
State of Palestine (the) *,Estado de Palestina (el) *,the State of Palestine,el Estado  de Palestina,,,,,,,,,,,,,
Cook Islands (the) **,Islas Cook (las) **,the Cook Islands,las Islas Cook,,,,,,,,,,,,,
Niue **,Niue **,Niue,Niue,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
*Observer State,,,,,,,,,,,,,,,,
**Member of specialized agencies,,,,,,,,,,,,,,,,