i>>?NAomero,Rubro,Estado,Municipio,Nombre del Area,Plazo de CertificaciA3n,Fecha de Certificacion,Superficie Certificada,Etnia a la que Pertenece,Ecosistemas,Observaciones
1,Empresas de ParticipaciA3n Estatal,Veracruz,Coatzacoalcos,Parque EcolA3gico Jaguaroundi,99 aA+-os,6/5/2002,960.73,N/A,"Selva Alta Perennifolia, Manglar de agua dulce, Pantano, VegetaciA3n acuA!tica",Obtuvo la ampliaciA3n de plazo a 99 aA+-os.
2,Personas FAsicas,Tabasco,Tacotalpa,"Rancho ""La AsunciA3n"", con el Area Natural Praderaotegida Yu-Balcah (Reserva EcolA3gica Yu Balkah, Estatal)",Perpetuidad,10/21/2003,572,N/A,"Selva Alta Perennifolia inundable, Manglar de agua dulce, Pantano, VegetaciA3n acuA!tica.",
3,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,Cerro Chango,Perpetuidad,7/28/2004,700,Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema cavernAcola.",
4,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n San Pedro Tlatepusco,25 aA+-os,11/26/2004,"5,050",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
5,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n Santiago Tlatepusco,25 aA+-os,11/26/2004,"4,300",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
6,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n San Antonio del Barrio,25 aA+-os,11/26/2004,"1,500",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino.",
7,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n la Tierra del FaisA!n,25 aA+-os,11/26/2004,"9,670",Chinantecas,"GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
8,Personas FAsicas,Puebla,Zihuatehutla,Area de PraderaeservaciA3n de la Naturaleza y Zona de Usos MAoltiples para el Ecoturismo KolijkA(c),Perpetuidad,2/25/2005,26,N/A,"Selva Mediana Subperennifolia, Bosque MesA3filo de MontaA+-a, GalerAa Riparia de Platanus, VegetaciA3n RupAcola (relicto xerA3filo), VegetaciA3n acuA!tica",
9,Comunidades,Oaxaca,Ixtlan de Juarez,Zonas de ConservaciA3n comunitaria Santo Domingo Cacalotepec,20 aA+-os,8/5/2005,999,Zapoteco,"Selva Mediana Subperennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
10,Personas FAsicas,Coahuila,Ocampo,Rancho Media Luna,50 aA+-os,8/9/2005,"15,000",N/A,"Matorral XerA3filo MicrA3filo, Matorral XerA3filo HalA3fito, Matorral XerA3filo GipsA3filo, Matorral XerA3filo RosetA3filo, Matorral XerA3filo Crasicaule, Pradera",
11,Personas FAsicas,Puebla,Xicotepec de Juarez,Cacalotepec fracciA3n Praderaimera y fracciA3n segunda,50 aA+-os,8/26/2005,36,N/A,Bosque MesA3filo de MontaA+-a,
12,Comunidades,Oaxaca,Guamelula,Area Comunitaria Praderaotegida San Isidro,Perpetuidad,11/22/2005,"5,308",N/A,"Selva Baja Caducifolia, Selva Mediana Caducifolia, Selva Baja Espinosa, GalerAa Riparia, Manglar, Tular, Matorral de dunas costeras",
13,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido Las Ollas y Anexos,10 aA+-os,12/15/2005,287,N/A,Selva Mediana Subcaducifolia/Selva Baja Caducifolia,
14,Tierras de Uso ComAon,Oaxaca,Santo Domingo Tehuantepec,Las animas,10 aA+-os,12/15/2005,"2,500",Zapoteco,"Selva Baja Caducifolia, Selva Mediana Caducifolia, Selva Baja Espinosa",
15,Comunidades,Oaxaca,San Juan Tepehuxila,Zona de reserva ecolA3gica comunal de San Juan Teponaxtla,Perpetuidad,1/12/2006,"4,000",N/A,"GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
16,Tierras de Uso ComAon,Veracruz,Amatlan de Reyes,Reserva EcolA3gica Natural Cuenca Alta del RAo Atoyac,30 aA+-os,3/8/2006,446,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema cavernAcola, Ecosistemas acuA!ticos",
17,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,Area de ConservaciA3n y PraderaotecciA3n San jacobo,20 aA+-os,3/8/2006,986,Chinanteco,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema cavernAcola",
18,Comunidades,Oaxaca,San Pablo Etla,La Cruz-Corral de Piedra,15 aA+-os,3/8/2006,"2,335",Zapoteco,"GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
19,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,Terrenos dedicados a la conservaciA3n del Ejido Luis EcheverrAa,15 aA+-os,3/8/2006,800,Chinanteco,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
20,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,Reserva Ejidal Vistahermosa,15 aA+-os,3/8/2006,"1,000",Chinanteco,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
21,Tierras de Uso ComAon,Oaxaca,Santo Domingo Tehuantepec,Cerro de la Garza,10 aA+-os,3/15/2006,208,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Selva Baja Espinosa",
22,Sociedades,Sonora,Agua Praderaieta,Area de ConservaciA3n los Ojos 1 fracciones A y B,Perpetuidad,6/5/2006,"11,126",N/A,"Pradera, Chaparral, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero",
23,Sociedades,Sonora,Agua Praderaieta,Area de ConservaciA3n los Ojos 2-fracciones C y D,Perpetuidad,6/5/2006,"10,302",N/A,"Pradera, Chaparral, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero, Bosque de Pino-Encino",
24,Sociedades,Sonora,Agua Praderaieta,Area de ConservaciA3n los Ojos 3-fracciones E F G H I,Perpetuidad,6/5/2006,"12,839",N/A,"Pradera, Chaparral, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero",
25,Asociaciones,YucatA!n,Tizimin,Area de ConservaciA3n El Zapotal,Perpetuidad,6/5/2006,"2,358",N/A,"Selva Mediana Subcaduciifolia, Selva Baja Inundable, Sabana, Cenotes, Ecosistema cavernAcola",
26,Comunidades,Oaxaca,San Pedro Huamelula,Reserva Comunal Mascalco,Perpetuidad,6/5/2006,"10,000",N/A,"Selva Baja Caducifolia, Selva Mediana Caducifolia, Selva Baja Espinosa, GalerAa Riparia, Manglar, Tular, Matorral de Dunas Costeras, Ecosistemas AcuA!ticos",
27,Tierras de Uso ComAon,Oaxaca,Matias Romero,Zonas de Uso ComAon del Ejido Los Angeles,10 aA+-os,6/5/2006,245,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
28,Personas FAsicas,Tamaulipas,Antiguo Morelos,Rancho San Pedro,50 aA+-os,7/24/2006,805,N/A,"Selva Espinosa, Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Ecosistema CavernAcola",
29,Parcelas,Guerrero,Jose Azueta,Areas de ConservaciA3n en el ejido de Vallecitos de Zaragoza y sus Anexos 528 Z-5 P1/1,10 aA+-os,7/25/2006,8,N/A,"Selva Mediana Subcaducifolia, Bosque MesA3filo.",
30,Parcelas,Guerrero,Jose Azueta,Areas de ConservaciA3n en el ejido de Vallecitos de Zaragoza y sus Anexos 665 Z-6 P1/1,10 aA+-os,7/25/2006,25,N/A,Selva Mediana Subcaducifolia,
31,Parcelas,Guerrero,Jose Azueta,Areas de ConservaciA3n en el ejido de Vallecitos de Zaragoza y sus Anexos 502 Z-5 P1/1,10 aA+-os,7/25/2006,4,N/A,"Selva Mediana Subcaducifolia, Bosque MesA3filo",
32,Parcelas,Guerrero,Jose Azueta,Areas de ConservaciA3n en el ejido de Vallecitos de Zaragoza y sus Anexos 652 Z-6 P1/1,10 aA+-os,7/25/2006,23,N/A,Selva Mediana Subcaducifolia,
33,Parcelas,Guerrero,Jose Azueta,Areas de ConservaciA3n en el ejido de Vallecitos de Zaragoza y sus Anexos 627 Z-6 P1/1,10 aA+-os,7/25/2006,22,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
34,Parcelas,Guerrero,Jose Azueta,Areas de ConservaciA3n en el ejido Pantla 2 Z-1 P1/1,10 aA+-os,7/25/2006,80,N/A,Selva Mediana Subcaducifolia.,
35,Personas FAsicas,Oaxaca,Matias Romero,"""Rancho Los Manantiales""",10 aA+-os,10/23/2006,53,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
36,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""La Pasionaria""",Perpetuidad,10/25/2006,1.75,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
37,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""El Corozal""",Perpetuidad,11/25/2006,2,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
38,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Cafetal Soconusco""",Perpetuidad,10/25/2006,77,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
39,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Cerro Azul""",Perpetuidad,10/25/2006,12.5,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
40,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Huancastle""",Perpetuidad,10/25/2006,22,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
41,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""JuquAlita""",Perpetuidad,10/25/2006,119,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
42,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""ConcepciA3n Vista Hermosa""",Perpetuidad,10/25/2006,109,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
43,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""EL JordA!n""",Perpetuidad,10/25/2006,70.25,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
44,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""La LiBosque de Encinortad""",Perpetuidad,10/25/2006,4,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
45,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""La Reforma""",Perpetuidad,10/25/2006,20,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
46,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Los Lirios""",Perpetuidad,10/25/2006,3,N/A,Selva Alta Perennifolia,
47,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Sacramento""",Perpetuidad,10/25/2006,6,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
48,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Trapiche""",Perpetuidad,10/25/2006,4,N/A,Selva Alta Perennifolia,
49,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""La Soledad""",Perpetuidad,10/25/2006,10,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
50,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Cafetal Las Flores""",Perpetuidad,10/25/2006,28,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
51,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Juan Diego II""",Perpetuidad,10/25/2006,16,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
52,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""San Antonio""",Perpetuidad,10/25/2006,4,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
53,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""La Pasionaria""",Perpetuidad,10/25/2006,0.42,N/A,Bosque MesA3filo de MontaA+-a,
54,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Tierra Colorada""",Perpetuidad,10/25/2006,2,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
55,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""San Ignacio""",Perpetuidad,10/25/2006,110,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
56,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Piedra Blanca""",Perpetuidad,10/25/2006,2,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
57,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Las Flores""",Perpetuidad,10/25/2006,2,N/A,Bosque MesA3filo de MontaA+-a,
58,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""San Vicente""",Perpetuidad,10/25/2006,22,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
59,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Fraccionamiento Santa Fe""",Perpetuidad,10/25/2006,4,N/A,Selva Alta Perennifolia,
60,Personas FAsicas,Oaxaca,Pluma Hidalgo,"""Rosalito I""",Perpetuidad,10/25/2006,3,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a",
61,Tierras de Uso ComAon,Guerrero,Chilpancingo de los Bravo,"""El BorbollA3n, La Pandura y la Yerbabuena""",Perpetuidad,11/7/2006,817,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Baja Caducifolia",
62,Tierras de Uso ComAon,Aguascalientes,De El Llano,Area de PraderaotecciA3n del Aguila Real de la SerranAa de Juan Grande,50 aA+-os,11/7/2006,"2,589.45",N/A,"Pastizal-Huizachal, Matorral Crasicaule, Matorral de Encino, Bosque abierto de Encino",
63,Tierras de Uso ComAon,Oaxaca,Santa MarAa Jacatepec,"""Area de ConservaciA3n de la RiBosque de Encinora del Cajonos del Ejido Nuevo MA!lzaga""",99 aA+-os,11/10/2006,661.27,Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, Ecosistema cavernAcola",
64,Comunidades,Oaxaca,Santa MarAa Jacatepec,Area de ConservaciA3n de la RiBosque de Encinora del Cajonos de la Comunidad de San Agustin,99 aA+-os,11/10/2006,"1,765.07",Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema CavernAcola",
65,Tierras de Uso ComAon,Oaxaca,Ayotzintepec,Area de ConservaciA3n IndAgena de Monte Tinta,10 aA+-os,11/10/2006,"1,932.37",Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema CavernAcola",
66,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,"""Area de ConservaciA3n de la RiBosque de Encinora del Cajonos del Ejido Plan Mata de CaA+-a""",99 aA+-os,11/13/2006,"2,033.42",Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema CavernAcola",
67,Tierras de Uso ComAon,Guerrero,Leonardo Bravo,"El Ocotalito, El Venadario y La Antena",20 aA+-os,11/13/2006,340.92,N/A,"Sabana de Pino Encino, Matorral de Encino",
68,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 45Z-1 P-1/1,10 aA+-os,1/8/2007,25,N/A,"Bosque MesA3filo de MontaA+-a, Selva Mediana Subcaducifolia",
69,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 136Z-1 P-1/1,10 aA+-os,1/8/2007,10,N/A,Selva Mediana Subcaducifolia,
70,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 137Z-1 P-1/1,10 aA+-os,1/8/2007,25,N/A,Selva Mediana Subcaducifolia,
71,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 12Z-1 P-1/1,10 aA+-os,1/8/2007,40,N/A,Selva Mediana Subcaducifolia,
72,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 101Z-1 P-1/1,10 aA+-os,1/8/2007,10,N/A,Selva Mediana Subcaducifolia,
73,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 82 Z-1 P-1/1,10 aA+-os,1/8/2007,15,N/A,Selva Mediana Subcaducifolia,
74,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 22Z-1 P-1/1,10 aA+-os,1/8/2007,24,N/A,"Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
75,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 23Z-1 P-1/1,10 aA+-os,1/8/2007,16,N/A,Selva Mediana Subcaducifolia,
76,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 120Z-1 P-1/1,10 aA+-os,1/8/2007,30,N/A,"Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
77,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 103Z-1 P-1/1,10 aA+-os,1/8/2007,120,N/A,"Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
78,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 129Z-1 P-1/1,10 aA+-os,1/8/2007,100,N/A,Selva Mediana Subcaducifolia,
79,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 123Z-1 P-1/1,10 aA+-os,1/8/2007,60,N/A,"Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
80,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 86Z-1 P-1/1,10 aA+-os,1/8/2007,10,N/A,"Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
81,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 97Z-1 P-1/1,10 aA+-os,1/8/2007,35,N/A,Selva Mediana Subcaducifolia,
82,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 135Z-1 P-1/1,10 aA+-os,1/8/2007,30,N/A,Selva Mediana Subcaducifolia,
83,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 142Z-1 P-1/1,10 aA+-os,1/8/2007,40,N/A,Selva Mediana Subcaducifolia,
84,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 141Z-1 P-1/1,10 aA+-os,1/8/2007,100,N/A,"Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
85,Parcelas,Guerrero,Jose Azueta,Area de ConservaciA3n en el Ejido San Ignacio 95Z-1 P-1/1,10 aA+-os,1/8/2007,40,N/A,Selva Mediana Subcaducifolia,
86,Tierras de Uso ComAon,Oaxaca,Santiago Jocotepec,"""Area de ConservaciA3n de la RiBosque de Encinora del Cajonos del Ejido Plan De San Luis""",Perpetuidad,1/19/2007,"1,360",Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, Ecosistema cavernAcola",
87,Tierras de Uso ComAon,Nuevo LeA3n,AramBosque de Encinorri,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano Potrero de Zamora,99 aA+-os,1/19/2007,"4,417.50",N/A,"Bosque Alpino, Bosque de Pino, Bosque de Pino Encino, Chaparral, Matorral DesA(c)rtico RosetA3filo, Matorral DesA(c)rtico MicrA3filo, Pastizal Inducido",
88,Tierras de Uso ComAon,Nuevo LeA3n,AramBosque de Encinorri,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano San JoaquAn de Soto,99 aA+-os,1/19/2007,"6,405.57",N/A,"Bosque Alpino, Bosque de Pino, Bosque de Pino Encino, Chaparral, Matorral DesA(c)rtico RosetA3filo, Matorral DesA(c)rtico MicrA3filo, Pastizal Inducido",
89,Tierras de Uso ComAon,Nuevo LeA3n,Galeana,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano Corona del Rosal,99 aA+-os,1/19/2007,"6,579.21",N/A,"Bosque Alpino, Bosque de Pino, Bosque de Pino Encino, Bosque MesA3filo, Bosque de GalerAa, Chaparral, Matorral DesA(c)rtico RosetA3filo, Matorral DesA(c)rtico MicrA3filo, Pastizal Inducido",
90,Tierras de Uso ComAon,Nuevo LeA3n,AramBosque de Encinorri,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano El Saucillo,99 aA+-os,1/19/2007,"1,190.75",N/A,"Bosque de Pino Encino, Chaparral, Matorral DesA(c)rtico RosetA3filo, Matorral DesA(c)rtico MicrA3filo, Pastizal Inducido",
91,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 55 Z-2 P-2/2,10 aA+-os,3/2/2007,19.1,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
92,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 63 Z-2 P2/2,10 aA+-os,3/2/2007,10.71,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
93,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 65 Z-2 P-2/2,10 aA+-os,3/2/2007,5,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
