No.,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Estado,Teléfono,Tipo de Residuo,No. de Autorización,Vigencia Inicio,Vigencia Término,Capacidad (ton/año)
103,"Soluciones Ambientales Alternas, S.A. de C.V.","Calle Cuarta Sur No. 39, Col. Independencia, C.P. 54914",Tultitlán,109,Estado de México,15,58 31 69 11,Aceites usados.,15-IV-12-12,21/03/2012,21/03/2022,"2,400"
104,"U.S. Technologies, S.A. de C.V.","Av. Independencia No. 28, Col. Independencia. C.P. 54900. ",Tultitlán,109,Estado de México,15,58 84 92 09,"Aceite grafitado sucio, aceite lubricante sucio, anticongelante, líquido de frenos y líquido limpiaparabrisas",15-IV-15-08,26/03/2008,26/03/2018,"11,164"
105,"Envases y Laminados, S.A. de C.V.","Av. Dos No. 5-A, Parque Industrial Cartagena, C.P. 54918",Tultitlán,109,Estado de México,15,58 88 08 75,Envases usados impregnados de residuos peligrosos,15-IV-35-16,15/06/2016,15/06/2026,"2,500"
106,"Unienvases Rectificados, S.A. de C.V.","Delfín No. 11 Rancho El Molino, Parque Industrial Cuautitlán Izcalli, C.P. 54800 ",Cuautitlán Izcalli,121,Estado de México,15,58 70 63 64,"Chatarra impregnada con resinas, solventes, pinturas y aceites.",15-IV-58-11,01/08/2011,01/08/2021,"2,160"
107,"Materias  del Comercio Exterior, S.A. de C.V.","Carpinteros Lt. 40, Mz. II, Distrito I-81-B, Fracc. Industrial Xhala",Cuautitlán Izcalli,121,Estado de México,15,69 93 25 80,"Xileno, tolueno, nafta ligera, nafta mediana, metil etil cetona, acetato de metilo, acetato de butilo, monoetilen glicol, dietilen glicol, base thiner",15-IV-47-16,26/08/2016,26/08/2026,"6,663"
108,"Química Wimer, S.A. de C.V.","Calle Tecamazuchitl S/N, Col. Ampliación Santa Catarina 56619.",Valle de Chalco Solidaridad,122,Estado de México,15,58 60 02 03,"Reciclaje de solventes clorados sucios, metanol contaminado, solventes aromáticos sucios, isopropanol contaminado, acetatos y acetonas sucios, butanol contaminado, solventes sucios mezclados y solventes alifáticos sucios; asimismo el reciclaje y recuperación de mercurio que se encuentra contenido en amalgamas y tubos fluorescentes, focos ahorradores, lámparas de sodio, tubos de luz ultravioleta, tubos de gas neón y todo tipo de alumbrado que contenga mercurio; y termómetros, manómetros, switches, relevadores, carbón activado contaminado con mercurio, equipo médico que contiene mercurio como esfigmomanómetros, pilas de óxido de mercurio; además del reciclaje de residuos peligrosos líquidos para la formulación de combustible, reciclaje de residuos peligrosos en estado sólido para su aprovechamiento energético, reciclaje de medicamentos caducos, reciclaje de aguas y líquidos residuales, valorización de metales provenientes de catalizadores gastados, electrónicos, eléctricos, celulares, etc. y co-procesamiento por neutralización de mezcla de aminas.",15-IV-56-15,19/11/2015,19/11/2025,"16,095"
109,"MG Recicles, S.A. de C.V.",Calle Norte 2 Lotes 4 y 5 Parque Industrial La Nopalera 59745,Ecuandureo,30,Michoacán,16,351 520 0820,Residuos peligrosos a partir de baterías usadas de los tipos automotrices y similares para la obtención de plomo y polipropileno.,16-IV-02-13,23/01/2013,23/01/2023,"48,000"
110,Eric Odranoel Bobadilla Quintero,"Oriente Dos No. 500, Ciudad Industrial",Morelia,53,Michoacán,16,01 44 33 23 00 34,"Reciclaje de plomo, a partir de baterías de plomo-ácido de todo tipo y tamaño, chatarra (material que contenga plomo, aleaciones, soldaduras, desperdicios metálico y metales no ferrosos) y escorias generadas de la fundición de hornos y pailas.",16-IV-13-09,11/03/2009,11/03/2019,"3,000"
111,"Construcciones Pesadas del Pacífico, S.A. de C.V.","Calle Acaponeta No. 63, Col. Morelos, 63080",Tepic,17,Nayarit,18,(311) 214 88 03,Reciclaje de residuos peligrosos para la elaboración de combustible alterno a partir de aceites gastados.,18-IV-06-13,25/02/2013,25/02/2023,645.48
112,"Barriles Metálicos, S.A. de C.V.","Eugenio A. Benavides No. 205 B, Col. Moisés Sáenz, C.P. 66615. ",Apodaca,6,Nuevo León,19,(81) 83 85 08 74 ,Reciclaje de aceites lubricantes gastados provenientes de actividades industriales y automotrices para la formulación de combustible alterno.,19-IV-11-11,14/02/2011,14/02/2021,660
113,"Falmet, S.A. de C.V. (antes Ametix, S.A. de C.V.)",Cecilio Garza No. 301 Fracc. El Milagro 66600,Apodaca,6,Nuevo León,19,(81) 8321 0009,"Rebabas, virutas, lingotes, pedacería, chorreaduras de fundición, polvos colectores y precipitadores electroestático, cenizas, óxidos, escorias, concentrados de metales, tierras con metálicos, óxidos y sulfuros minerales y concentrados minerales, tierras de acería, lodos con metálicos, secundarios de fundición, fundentes de escorias de aluminio y materiales con contenidos diversos de los siguientes metales: Cobre, zinc, plomo, níquel, estaño, aluminio, fierro, magnesio, antimonio y sus aleaciones, como son ligas de cobre, latón, bronce o cualquier otra mezcla con los metales señalados provenientes de terceros",19-IV-45-15,24/09/2015,24/09/2025,"17,600"
114,"Energroup, S.A. de C.V. (Antes Refinados y Lubricantes del Norte, S.A. de C.V.)",Km 28.5+200 de la Carretera Monterrey-Reynosa.,Cadereyta Jiménez,9, Nuevo León ,19, (81) 1 365 02 30,Aceite lubricante usado para la formulación de combustible alterno.,19-IV-78-09,24/08/2009,24/08/2019,"9,600"
115,Ingeniería y Desarrollos Petrolíferos S. de R.L. de C.V.,Libramiento Martínez Domínguez Km 4 ,Cadereyta Jiménez,9,Nuevo León,19,(81) 83 69 64 20,Elaboración de combustible alterno a partir de aceite lubricante automotriz usado y solvente usado,19-IV-01-13,08/01/2013,08/01/2023,"24,000"
116,"Asfaltos Energex, S.A. de C.V.",Libramiento Martínez Domínguez Km. 0.5 C.P. 67450.,Cadereyta Jiménez,9,Nuevo León,19,(818) 369 64 20,"Elaboración de combustible alterno a partir de aceites gastados de petróleo, industriales y automotrices, así como la materia prima para negro de humo.",19-IV-15-15,22/05/2015,22/05/2025,"35,000"
117,"Johnson Controls Enterprises México, S. de R.L. de C.V. (antes Enertec Exports, S. de R.L. de C.V.; *Enertec México, S. de R.L. de C.V.,  Acumuladores Mexicanos, S.A. de C.V. (Planta Cienega de Flores))","Carretera Monterrey Nuevo Laredo Km. 11.5,  C.P. 64740",Ciénega de Flores,12,Nuevo León,19,(81) 83299774 EXT 9774,Reciclaje de baterías usadas y residuos peligrosos con metales no ferrosos,19-IV-78-11,18/11/2011,18/11/2021,"254,085"
118,"Eléctrica Automotríz Omega, S.A. de C.V. (Planta Dr. González)","Av. Parque Industrial Dr. González Mz. 3, Lt. 9, Parque Industrial Dr. González",Doctor González,16,Nuevo León,19,(81) 83 34 95 08                                                                                  (81) 83 34 98 36,"Plomo metálico a partir de acumuladores automotrices e industriales usados o viejos, así como escorias de plomo.",19-IV-18-08 (Prórroga),16/04/2008,16/04/2018,"94,000"
119,"Corporación Pipsa, S.A. de C.V.","Carretera a Villa de García Kilometro 8.5, C.P. 66000.",García,18,Nuevo León,19,(81) 83 44 94 24                                     (81) 83 44 94 25,"Baterías plomo-ácido de desecho, desperdicios de baterías y plomo metálico, para la obtención de plomo metálico.",19-IV-32-13,04/11/2013,04/11/2023,"38,760"
120,"Energéticos Básicos, S.A. de C.V.","Libramiento Noreste No. 1017-A esquina con Alfa, Parque Industrial Mitras, C.P. 66001",García,18,Nuevo León,19,(81) 83 81 09 90,"Aceite lubricante usado, combustóleo recuperado de centrifugado de cámaras de barrido, fondos de combustóleo de lodos centrifugados, hidrocarburos pesados de petróleo, diésel y gasolina contaminados, y solventes recuperados como ciclohexano, tolueno, xilol, hexano, alcohol isopropílico, cetonas, butanol hexanol, tetrahidrofurano, alcohol etílico, acetona, heptanol, octanol.",19-IV-09-14,08/12/2014,08/12/2024,"32,000"
121,"Enertec Exports, S. de R.L. de C.V. (antes Enertec México, S. de R.L. de C.V.)","Carretera a García Km 9.5 No. 9500, C.P. 66000",García,18,Nuevo León,19,(81) 80 63 59 82,"Acumuladores automotrices conteniendo: plomo, metales no ferrosos y polipropileno, para lo cual se reciben baterías usadas, sobre tarimas de madera, envueltas con strech film en almacén temporal, metales no ferrosos tales como placas, rejillas, óxidos de plomo, polvos de óxido de plomo, pasta de óxido de plomo y escoria de fundición de plomo, provenientes de las plantas de fabricación de baterías del promovente.",19-IV-38-10,30/03/2010,30/03/2020,"336,000"
122,"Meremex, S.A. de C.V.","Bronce 9387, Parque Industrial Mitras, C.P. 66000.",García,18,Nuevo León,19,(81) 83 81 08 16,Polvos de acerías para el enriquecimiento de óxidos metálicos de baja ley.,19-IV-31-13,12/11/2013,12/11/2023,"36,000"
123,"Procesos Químicos Especializados, S.A. de C.V.",Humberto Lobo #9342 Parque Industrial Mitras 66023,García,18,Nuevo León,19,(818) 381 02 80,"Catalizadores gastados y lodos de aguas residuales (lodos, escorias, baños gastados catalizadores agotados provenientes de la industria, automotriz, petroquímica, de metales, farmacéutica, electrónica y electroquímica) para la recuperación de níquel, cobre, cobalto, molibdeno, rodio, platino, paladio, vanadio, plata y oro.",19-IV-32-08,17/06/2008,17/06/2018,"7,800"
124,"Reciclajes y Destilados Monterrey, S.A. de C.V.",Níquel # 9219 Parque Industrial Ciudad Mitras ,García,18,Nuevo León,19,(818) 381 03 95                                                                                                           (818) 381 06 36,"Acumuladores automotrices usados, tambores metálicos y de plástico, así como contenedores.",19-IV-34-08,01/07/2008,01/07/2018,"4,267"
125,"Reciclajes y Destilados de Monterrey, S.A. de C.V.","Poligonos No. 123, Parque Industrial Arco Vial, 66000",García,18,Nuevo León,19,(818) 381 06 36,"Solventes gastados: acetona, metil isobutil cetona, cloruro de metilo, percloroetileno, tolueno, xilol, alcohol isopropílico, acetato de butilo, nafta, ciclohexano, butanol, acetato de etilo, tetrahidrofurano, thinner, ácido piválico, etanol, metanol, ácido acético, dimetilacetamida, metil etil cetona, ácido 2 etil hexanoico, acetonitrilo, óxido de mesitilo.",19-IV-12-14,13/03/2014,13/03/2024,"8,424"
126,"Recmat de México, S. de R.L. de C.V.","Av. Humberto Lobo No. 9324, Col. Ciudad Industrial Mitras",García,18,Nuevo León,19,(55) 36 17 06 37,Baterías de tipo plomo ácido.,19-IV-42-14,30/06/2014,30/06/2024,"24,000"
127,"Refinados de Solventes, S.A. de C.V.","Platino No. 9434, Parque Industrial Mitras 66001.",García,18,Nuevo León,19,(81) 8 372 18 31,"Reciclaje de aceite lubricante gastado, lubricantes e hidráulicos, automotrices o industriales, así como elaboración de combustible alterno",19-IV-94-10,19/08/2010,19/08/2020,"8,000"
128,"Soluciones Ambientales Carriaga, S.A. de C.V.",Circuito Industrial Humberto Lobo No. 8110 Parque Industrial Mitras 66000 ,García,18,Nuevo León,19,(81) 80 04 01  94                    (81) 80 04 01 95                                         ,"Formulación de combustible alterno a partir de los siguientes residuos: aceites usados (de corte y enfriamiento de fresado, taladrado, troquelado, hidráulicos, automotrices parafínicos, aromáticos, naftenicos, sintéticos, dieléctricos libres de bifenilos policlorados), aceites gastados y residuos de los baños de aceite en las operaciones de tratamiento térmico de metales, aceites solubles en ácidos de los procesos de alquilación de hidrocarburos), solventes de fondos de destilación, solventes de lavado, solventes sucios, hidrocarburos contaminados y sucios, residuos de tanques de almacenamiento, lodos aceitosos, lodos contaminados con solventes, lodos con grasas, lodos de resinas, plásticos, monómeros, polímeros, adhesivos, pinturas, carbón activado agotado, natas de aceites, y aserrín contaminado con cualquiera de estos residuos.",19-IV-66-12,19/12/2012,19/12/2022,"11,335"
129,"Soluciones Ambientales Carriaga, S.A. de C.V.",Circuito Industrial Humberto Lobo No. 8110 Parque Industrial Mitras 66000 ,García,18,Nuevo León,19,(81) 80 04 01  94                    (81) 80 04 01 95,"Tierras y cenizas con alto contenido de metales provenientes de los procesos de inmersión en caliente, rebabas o virutas de proceso, de equipo de molienda u hornos de fundición, dichos residuos contienen zinc, aluminio y cobre contaminados con arsénico, bario, cadmio, mercurio, plomo, plata, níquel o selenio, y reciclaje de polioles.",19-IV-68-12,08/01/2013,08/01/2023,"1,300"
130,"Tranquilida Integral en Residuos, S.A. de C.V.","Humberto Lobo No. 9338, Parque Industrial Mitras. C.P. 66001",García,18,Nuevo León,19,(81) 83 81 08 65,"Elaboración de combustible alterno a partir de aceites gastados (aceite automotriz, lubricante e hidráulico) o su acondicionamiento para su reutilización.",19-IV-19-13,07/06/2013,07/06/2023,"6,750"
131,"*Residuos Industriales Multiquim, S.A. de C.V.","Av. Lázaro Cárdenas No. 2400 poniente, Col. San Agustín",San Pedro Garza García,19,Nuevo León,19,52 (81) 81 52 21 00                                                                                                                              81 52 21 63 ,"Disolventes orgánicos y clorados, aceites solubles industriales y aceites lubricantes para elaboración de combustible alterno",19-37-PS-VII-01-93,15/10/1993,Indefinida,"96,000"
132,"Ecoquim, S.A. de C.V.","Avenida del acero No. 102, Comlpejo Industrial Mariano Escobedo",General Escobedo,21,Nuevo León,19,(81) 8 220 05 00 ,"Solventes orgánicos y organoclorados, aceites lubricantes e hidrosolubles, HC y mezclas acuosas, y tambores sucios que contenían el residuo.",19-21-PS-V-04-94,28/11/1994,Indefinida,"4,860"
133,"Guantes Industriales Rodríguez, S.A. de C.V.",Gilberto Caballero No.1013 Col. Andrés Caballero 66050,General Escobedo,21,Nuevo León,19,(81) 8 239 0734,Aceites lubricantes usados para la formulación de combustible alterno o bien para su reutilización,19-IV-53-12,17/12/2012,17/12/2022,"2,477"
134,"Productos Químicos el Rey, S.A. de C.V.","Libramiento Noreste Km. 27.5, General Escobedo",General Escobedo,21,Nuevo León,19,(818) 372 83 29,Cloruro ferroso.,19-IV-43-12,10/09/2012,10/09/2022,"10,938"
135,"*Quimicompuestos, S.A. de C.V.","Av. De la Fundión No. 318, Col. Parque Industrial Escobedo",General Escobedo,21,Nuevo León,19,(81) 8 384 84 84,Solventes sucios,19-21-PS-V-02-93,14/03/1994,Indefinida,"7,228"
136,"Univar de México, S.A. de C.V. (antes Químicompuestos, S.A.P.I de C.V.)","Av. De las Torres No. 207, Parque Industrial General Mariano Escobedo",General Escobedo,21,Nuevo León,19,(81) 83 84 83 02,Solventes gastados.,19-IV-51-14,30/09/2014,30/09/2024,"6,840"
137,Jorge Villanueva Gutiérrez,"Calle Primero de Mayo No. 324, Col. 21 de Enero, C.P. 6716",Guadalupe,26,Nuevo León,19,(81) 83 51 18 48,"Contenedores de lámina de diferentes capacidades, impregnados con aceite, pinturas, resinas, solventes o grasas.",19-IV-76-14,19/12/2014,19/12/2024,"1,756"
138,"Rockwell Automation Monterrey Manufacturing, S. de R.L. de C.V.","Camino Vecinal S/N No. 3051 Parque Industrial FINSA Guadalupe Aeropuerto, C.P. 67110",Guadalupe,26,Nuevo León,19,(81) 81 31 74 12,Escoria de soldadura de plomo.,19-IV-64-14,31/10/2014,31/10/2024,25
139,"Retalsa, S.A. de C.V. ","Av. Libertad No. 316, Fracc. Industrial La Silla 67199",Guadalupe,26,Nuevo León,19,83 61 09 48,"Reciclaje de tambores metálicos y de plástico impregnadaos con residuos peligrosos derivados del petróleo (aceites lubricantes automotrices, aceites industriales, grasas, aditivos, etc.) y mezclas de solventes utilizados en fabricación de pintura).",19-IV-15-17,29/06/2017,29/06/2027,592
140,Ezequiel Cruz Carreño,"Galeana No. 3212, Col. del Norte",Monterrey,39,Nuevo León,19,(81) 83 31 56 36,"Envases o recipientes tales como tambos, porrones, totes y cubetas.",19-IV-72-08,09/12/2008,09/12/2018,"1,000"
141,"*Maquiladora de Lubricantes, S.A. de C.V.","Calle Porfirio Treviño Arreola No. 233, Col. Del Norte",Monterrey,39,Nuevo León,19,,Aceites hidraulico usado,19-39-PS-V-06-94,25/11/1994,Indefinida,518.4
142,"*Novoaceites, S.A. de C.V.","Simón de Herrera y Leva No. 212-A, Col. Burocratas del estado",Monterrey,39,Nuevo León,19,,"Manejo de aceites lubricantes usados y otros residuos (estopas, trapos, filtros, cartón, aserrín impregnados con aceites, solventes sucios no clorados y residuos de pinturas)",19-39-PS-I-14-95,28/05/1995,Indefinida,s/c
143,"Petrotekno, S.A. de C.V.","Jerónimo Cardona No. 116-B, Col. Burócratas del Estado, C.P. 64380 ",Monterrey,39,Nuevo León,19,(81) 83 73 73 73,"Lodos de tanques de almacenamiento de petróleo crudo y sus derivados, lodos aceitosos,  residuos de petróleo crudo líquidos o sólidos, así como lodos intemperizados y semi intemperizados de hidrocarburos, generados por la industria del petróleo.",19-IV-54-11,26/07/2011,26/07/2021,"300,000"
144,"Reactimex, S.A. de C.V.","Av. Industrias No. 1200 C. Pte., Col. Bella Vista",Monterrey,39,Nuevo León,19,(81) 83 31 38 05,Fondos de destilación.,19-IV-05-14,22/01/2014,22/01/2024,250
145,"Ternium México, S.A. de C.V. Planta Churubusco (antes IMSA MEX, S.A. de C.V.)",Av. Chururbusco No. 1000 Fracc. Santa Fe 64560,Monterrey,39,Nuevo León,19,(818) 329 50 00,"Cloruro ferroso del proceso de decapado, para obtener ácido clorhídrico.",19-IV-14-16 (Prórroga),04/03/2016,04/03/2021,"118,150"
146,"Promotora y Transformadora de Energía, S.A. de C.V.","Av. de las Escuelas No. 400, Parque Industrial Alfareros",Pesquería,41,Nuevo León,19,81 1453 0005,"Reciclaje de aceites gastados, solventes contaminados (Glicoles contaminados del procesamiento de gas natural), solventes (metanol, etanol, ciclohexano, ciclo pentano, etilbenceno,  propanol, etilenglicol, thiner, aguarrás, tolueno y xileno) y líquidos de hidrocarburos contaminados (diesel, combustóleo, gasolinas, crudo y condensados recuperados de fondos de tanques de limpieza y de atención a contingencias ambientales) para formulación de combustible alterno.",19-IV-50-15,21/10/2015,21/10/2025,"10,500"
147,"Cronyng Mexicana, S.A. de C.V.","Industria Siderúrgica s/n, Parque Industrial Pesquería",Pesquería,41,Nuevo León,19,(55) 5684 2954 ,Solución acuosa de amina (AAA) contaminada para la obtención de Dimetilpropilamina (DMPA),19-IV-65-16,16/12/2016,16/12/2026,"14,802"
148,"Maquiladora de Lubricantes, S.A. de C.V.",Km 30.3 de la Carretera Monterrey-Colombia,Salinas Victoria,45,Nuevo León,19,(81) 8388 2775,"Aceites gastados de tratamiento en caliente de metales, aceites gastados de corte y enfriamiento, aceites solubles provenientes de alquilación de hidrocarburos, aceites lubricantes gastados, aceites automotrices usados, aceites bituminosos, grasas lubricantes usadas, aceites minerales, aceites crudos de petróleo y aceites contaminados con solventes sucios",19-IV-69-16,14/12/2016,14/12/2026,"134,400"
149,"Reciclaje Metalúrgico Ecológico, S.A. de C.V. ",Calle Camino Sendero Oriente No. 4,Salinas Victoria,45,Nuevo León ,19,(81) 1253 7284,"Lodos y plomo del equipo de control de emisiones de fundición y afinado en la producción secundaria de plomo; residuos de pigmentos base plomo; óxidos provenientes del horno en la producción secundaria de plomo u óxidos de bajo contenido de plomo; lodos del equipo de control de emisiones del afinado en la producción primaria de plomo; polvos del equipo de control de emisiones del afinado en la producción primaria de plomo; residuos de soldadura en la producción de circuitos electrónicos que contengan plomo; óxidos de plomo en diferentes presentaciones; óxidos y chorreaduras de estaño provenientes de soldaduras de aleaciones plomo-estaño; chatarra, sales y óxidos de níquel; colas en las plantas de manufactura de ferroaleaciones de hierro-níquel; lodos de manufactura de aleaciones de níquel; sales precipitadas de los baños de regeneración de níquel y piezas de catalizadores que contengan vanadio, para la recuperación de metales como plomo, estaño, níquel, cobre y vanadio.",19-IV-01-17 ,25/01/2017,25/01/2027,288
150,"Ternium México, S.A. de C.V.","Av. Universidad No. 992, Col. Cuauhtémoc, C.P. 66450. ",San Nicolás de los Garza,46,Nuevo León,19,(818) 865 28 28,Reciclaje de licor de ácido clorhídrico (cloruro ferroso gastado) proveniente de procesos de decapado de acero de terceros.,19-IV-82-10,01/07/2010,01/07/2020,"71,193"
151,"Zinc Nacional, S.A.","Manuel M. Ponce y Pedro Galindo s/n, Col. Lomas del Roble",San Nicolás de los Garzas,46,Nuevo León,19,(8) 342 68 61,"Polvos de acerías provenientes de terceros generados en hornos de arco eléctrico extranjeros y nacionales, así como cenizas generadas en  procesos de recuperación energética.",19-IV-36-14 (Prórroga),03/06/2014,03/06/2019,"310,000"
152,"Techemet, S.A. de C.V.",Constitución No. 905 Col. Fidel Velazquez 66496,San Nicolás de los Garza,46,Nuevo León,19,(81) 11 60 95 26,Catalizadores gastados de vehículos automotores,19-IV-37-16,15/06/2016,15/06/2026,"1,800"
153,"Diseño Estrategico, S.A. de C.V.",Av. Hernán Santos Cantú No. 228. Col. Desarrollo Industrial Monterrey. ,Santa Catarina,48,Nuevo León,19,81 80 33 27 40                                                                                                                                        81 80 33 27 41,"Reciclaje de lodos de tanques de almacenamiento de hidrocarburos, lodos separadores API y cárcamos en la refinación de petróleo y almacenamiento de productos derivados.",19-IV-77-10,16/07/2010,16/07/2020,"70,080"
154,"Recicladora Industrial de Acumuladores, S.A. de C.V.","Carretera a García Km. 1.2 Int. 11 Parque Industrial Gonher, C.P. 66350",Santa Catarina,48,Nuevo León,19,(81) 81 22 72 00,"Plomo metálico, propileno a partir de acumuladores automotrices usados y plástico polipropileno, así como de residuos con contenido de plomo, drosses y residuos de la manufactura de acumuladores.",19-IV-66-14,19/12/2014,19/12/2024,"122,623"
155,"Materiales Asfálticos, S.A. de C.V.",Calle Central No. 1410,Santa Catarina,48,Nuevo León,19,(81) 8032 6090,"Aceite lubricante automotriz usado, solventes recuperados mezcla de compuestos orgánicos (2 etilhexanol, diisooctilftalato, tolueno y xileno) para la formulación de combustible alterno",19-IV-68-16,16/12/2016,16/12/2026,"37,118"
156,Marina Josefina Pérez Montiel,"Calle Amargura s/n, en Paraje ""La Peña"",  Distrito de Tlacolula de Matamoras ",San Francisco Lachigoló,145,Oaxaca,20,(951) 516 30 32,Gases refrigerantes: tricloromonofluorometano y diclorodifluorometano.,20-IV-47-14,18/07/2014,18/07/2024,4
157,"Alternos y Reciclados Pavetech, S.A. de C.V.","Esquina Calle Valle Esmeralda con la Carretera Federal Oaxaca-Zimatlán de Álvarez, Col. Valle de Reyes",Villa Zaachila,565,Oaxaca,20,(951) 515 64 86,Residuos peligrosos tales como aceites lubricantes gastados.,20-IV-26-12,13/06/2012,13/06/2022,"2,850"
158,"Depósito Ecológico Ambiental, S.A. de C.V. (antes Convertidora de Aceites Usados, S.A. de C.V.)","Perímetro del Rancho San Felipe s/n, Localidad Chachapa 72990 ",Amozoc de Mota,15,Puebla,21,(222) 286 62 95,Solventes usados(Thinner) ,21-IV-02-10,08/01/2010,08/01/2020,562
159,*Jose Ignacio Vazquez Marin y/o C. Rosario Vazquez Marin,"Domicilio conocido a San José, C.P. 72980",Amozoc de Mota,15,Puebla,21,,"Disolventes orgánicos sucios, aceites lubricantes, y reciclaje de tambores.",21-15-PS-V-03-94,18/08/1994,Indefinida,"4,020"
160,María C. Rosario Vazquez Marin (antes Solventes San Martín),"Calle tres oriente S/N, Col. Santo Angel",Amozoc de Mota,15,Puebla,21,,Reciclaje de disolventes orgánicos y reciclaje de líquidos para frenos,21-15-PS-V-02-93,09/08/1993,Indefinida,605
