i>>?#,,RAZON SOCIAL,,,,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA LICENCIA,CLASIFICACION O GIRO,,,,LINEAS AUTORIZADAS,,,,,,
57,,MOLIENDAS TIZAYUCA  S.A DE C.V,,,,LOTE 7  MANZANA V,FRACCIONAMIENTO INDUSTRIAL TIZAYUCA,TIZAYUCA,43800,HIDALGO,94059,22/07/1994,"COMPRAVENTA,   BENEFICIO   Y   MOLIENDA   DE   MATERIALES   NO   METALICOS   Y   ELABORACION   DE SULFATO",,,,NO DISPONIBLE,,,,,,
58,,"NITROAMONIA DE MEXICO, S.A. DE C.V.",,,,PROLONGACION FERTILIZANTES No. 1802,INDUSTRIAL,MONCLOVA,25760,COAHUILA,06FQBI050180005,28/04/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANCOS,,,,ACIDO NITRICO Y NITRATO DE AMONIO,,,,,,
59,,ORGANO SINTESIS S. A. DE  C. V,,,,"KM   10.8,   CARR   DE  AMOMOLUCO   A  SANTIAGO TIANGUISTENCO",SAN NICOLAS TLAZALA,CAPULHUAC,52700,MEXICO,06FQBO150190004,24/05/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"SALES   CUATERNARIAS   DE   AMONIO,   OXIDOS   DE   AMINA,   DIFENIL   UREAS,   BETAINAS, CLOROFENOLES",,,,,,
60,,"OXIQUIMICA, S.A DE C.V.",,,,CORREDOR INDUSTRIAL QUETZALCOATL No. 6,SAN BALTAZAR TEMAXCALAC,SAN MARTIN TEXMELUCAN,74126,PUEBLA,08FQBO211320007,18/12/2014,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"FABRICACION   DE   ASTERES   NO   AROMATICOS,   ASTERES   AROMATICOS,   ASTERES   NO AROMATICOS CACLICOS, ALDEHADOS AROMATICOS.",,,,,,
61,,OXITENO MEXICO S.A. DE C.V.,,,,KM. 1.6 CARRETERA SAN MARTIN DE LAS FLORES,SAN MARTIN DE LAS FLORES,TLAQUEPAQUE,45620,JALISCO.,07FQBO140980004,13/11/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"FABRICACION DE ESTERES GRASOS, ACIDOS GRASOS ETOXILADOS, ALCOHOLES GRASOS ETOXILADOS, ALQUIL FENOLES EXTOXILADOS, AMINAS Y POLIETILENGLICOLES",,,,,,
62,,"OXITENO MEXICO, S.A. DE C.V.",,,,INTERIOR DEL  RECINTO FISCAL AUTORIZADO,CENTRO,COATZACOALCOS,96400,VERACRUZ,2000AR02E,21/01/2009,PRODUCTOS QUIMICOS BASICOS ORGANICOS; FABRICA DE a|,,,,NO DISPONIBLE,,,,,,
63,,PEMEX GAS Y PETROQUIMICA BASICA,,,,DOMICILIO CONOCIDO,SAN MIGUEL 2DA SECCION,REFORMA,29500,CHIAPAS,06FQBI070740001,11/05/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE AZUFRE,,,,,,
64,,PEMEX      PETROQUIMICA     /      COMPLEJO      PETROQUIMICO COSOLEACAQUE,,,,CARRETERA COSTERA DEL GOLFO KM 39+400,S/C,COSOLEACAQUE,96730,VERACRUZ,06FQBO300480004,19/10/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE XILENOS,,,,,,
65,,PEMEX PETROQUIMICA / COMPLEJO PETROQUIMICO ESCOLIN,,,,CARRETERA PALMA SOLA S/N,5 DE MAYO,POZA RICA,93350,VERACRUZ,07FQBO301310005,28/03/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE POLIETILENO DE ALTA Y BAJA DENSIDAD,,,,,,
66,,PEMEX PETROQUIMICA COMPLEJO PETROQUIMICO MORELOS,,,,EJIDO PAJARITOS S/N,S/C,COATZACOALCOS,96400,VERACRUZ,07FQBO300390009,22/10/2009,FABRICACIAN DE PROPUCTOS QUAMICOS BASICOS ORGANICOS,,,,"FABRICACION   DE   POLIETILENO-POLIPROPILENO,   POLIETILENO,   ETILENO,   OXIDO   DE ETILENO, PROPILENO, GLICOLES, ACRILONITRILO Y ACETOCIANHIDRINA",,,,,,
67,,PEMEX REFINACION,,,,TIERRA BLANCA No. 400,BELLAVISTA,SALAMANCA,36730,GUANAJUATO,10FQBOI110270025,23/03/2010,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS Y ORGANICOS,,,,AZUFRE Y ALCOHOL ISOPROPILICO,,,,,,
68,,"PEMEX REFINACION / REF. ""GRAL. LAZARO CARDENAS""",,,,AV. DIAZ MIRON No. 119,OBRERA,MINATITLAN,96700,VERACRUZ.,04FQBO301080006,24/08/2004,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS.,,,,ISOPENTANO - PENTANO,,,,,,
69,,PEMEX-PETROQUIMICA-COMPLEJO PETROQUIMICO TULA,,,,CARRETERA JOROBAS-TULA KM 23.5,2a SECCION DEL LLANO,TULA DE ALLENDE,42800,HIDALGO,04FQBI130760001,18/04/2008,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS.,,,,"ACRILONITRILO, ACIDO CIANHIDRICO, ACETONITRILO",,,,,,
70,,PENNWALT S.A. DE C.V.,,,,KM    22+500     CARRETERA    GUADALAJARA    -EL SALTO,EL SALTO,EL SALTO,,JALISCO,96AR27E,,"PRODUCTOS QUIMCOS, TOXICOS Y/O  PELIGROSOS, FABRICA DEa|",,,,NO DISPONIBLE,,,,,,
71,,"PENOX MEXICO, S.A. DE C.V.",,,,AV.   PARQUE   INDUSTRIAL   DR.   GONZALEZ   No. INTERIOR 9,PARQUE      INDUSTRIAL      DR. GONZALEZ,DR. GONZALEZ,66750,NUEVO LEON,09FQBI190160013,09/03/2009,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANCOS,,,,FABRICACION DE OXIDO DE PLOMO,,,,,,
72,,PETRAMIN  S.A. DE C.V.,,,,SALAMANCA  1843,CIUDAD INDUSTRIAL,IRAPUATO,36541,GUANAJUATO,07FQBO110170004,24/07/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS.,,,,"FABRICACION DE  MONOETILAMINA, DIETILAMINA, TRIETILAMINA, MONOCICLOHEXILAMINA, MONOISOPROPILAMINA, DIMETILETILAMINA, 2-DIETILAMINOETANOL.",,,,,,
73,,PETROCEL  S. A,,,,CARRETERA TAMPICO-MANTE KM. 17.5,S/C,ALTAMIRA,89600,TAMAULIPAS,04FQBO280030002,31/08/2004,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"DIMETIL TEREFTALATO, ACIDO TEREFTALICO",,,,,,
74,,"PETROQUIMICA MEXICANA DE VINILO, S.A. DE C.V. / COMPLEJO PETROQUIMICO PAJARITOS",,,,CARR. COATZACOALCOS VILLAHERMOSA Km. 7.5,CENTRO,COATZACOALCOS,96400,VERACRUZ,06FQBOI300390011,03/09/2014,FABRICACIAN  DE  OTROS  PRODUCTOS  QUIMICOS  BASICOS  INORGANICOS  FABRICACIAN  DE  OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACIAN DE MONAMERO DE CLORURO DE VINILO Y ACIDO CLORHADRICO.,,,,,,
75,,PETROQUIMICA MEXICANA DEL VINILO S.A. DE C.V.,,,,COMPLEJO INDUSTRIAL PAJARITOS,PAJARITOS,COATZACOALCOS,96400,VERACRUZ,07FQBI300390017,09/09/2013,FABRICACION DE PRODUCTOS QUIMICOS BASICO INORGANICOS,,,,"FABRICACION DE CLORO, HIDROXIDO DE SODIO, CLORURO DE SODIO E HIPOCLORITO DE SODIO",,,,,,
76,,POLAQUIMIA  S.A. DE C.V.,,,,KM      144      CARRETERA      FEDERAL      MEXICO- VERACRUZ,SAN COSME.,XALOZTOC,90460,TLAXCALA,07FQBO290390007,18/09/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS.,,,,FABRICACION DE ACIDO MONOCLOROACETICO Y MONOCLOROACETATO DE SODIO.,,,,,,
77,,POLIOLES S. A DE C. V,,,,CARRETERA MEXICO-TOLUCA Km. 52.5 LOTE A,PARQUE INDUSTRIAL LERMA,LERMA,52000,MEXICO,06FQBO150510003,16/07/2012,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"POLIOLES   (INDUSTRIALES,   PARA   URETANO-FLEXIBLE,   PARA   URETANO   RIGIDO,   PARA URETANO-RECUBRIMIENTOS,    PARA    URETANO-ELASTOMEROS),    POLIETILENGLICOLES, TENSOACTIVOS    (TETRONICS,    PLURONICS,    PLURONICS    R),    GLICOLES    (ETILENICOS, PROPILENICOS, METILICOS, ETILICOS, BUTILICOS)",,,,,,
78,,PROCTER & GAMBLE MANUFACTURA S. DE R. L. DE C. V.,,,,ACCESO KM 16 AUTOPISTA QUERETARO-CELAYA,CALERAS DE OBRAJUELO,APASEO EL GRANDE,38180,GUANAJUATO,03FQBI110050002,26/11/2003,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,PRODUCCION DE ACIDO SULFONICO Y SUBPRODUCTO ACIDO SULFURICO,,,,,,
79,,PRODUCTORA DE TEREFTALATOS DE ALTAMIRA  S.A. DE C.V.,,,,BOULEVARD PETROCEL KM. 1,PUERTO                   INDUSTRIAL ALTAMIRA,ALTAMIRA,89608,TAMAULIPAS,04FQBO280030001,23/02/2004,FABRICACION DE PRODUCTOS QUIMICOS BASICO ORGANICOS.,,,,ACIDO TEREFTALICO PURIFICADO,,,,,,
80,,"PRODUCTOS ESPECIALES QUIMICOS, S.A DE C.V",,,,CERRADA JOSE MURO LOZANO S/N,SALAMANCA,SALAMANCA,NO DISPONIBLE,GUANAJUATO,96AR29E,13/01/1997,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS",,,,NO DISPONIBLE,,,,,,
81,,PRODUCTOS QUIMICOS COIN S.A. DE C.V.,,,,BOULEVARD COMPELJO PETROQUIMICO,MORELOS KM 3,COATZACOALCOS,96400,VERACRUZ,95AR004E,,"FABRICACION    Y    COMPRAVENTA    DE    PRODUCTOS    QUIMICOS,    PETROQUIMICOS    BASICOS    Y SECUNDARIOS",,,,NO DISPONIBLE,,,,,,
82,,PRODUCTOS QUIMICOS MONTERREY S.A. DE C.V.,,,,LERDO DE TEJADA No. 807,EL LECHUGAL,SANTA CATARINA,66350,NUEVO LEON,05FQBI190390003,09/09/2016,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACIAN   DE   ACETATO   DE:   BARIO,   SODIO,   ZINC,   CALCIO,   POTASIO,   AMONIO, MANGANESO,  PLOMO;  SUBACETATO  DE  PLOMO,  MAGNESIO,  MERCURIO;  CLORURO  DE: AMONIO,  MAGNESIO,  BARIO,  POTASIO,  SODIO,  MANGANESO, ALUMINIO,  CADMIO, CALCIO, ESTRONCIO,   ZINC;   FOSFATO   DE:   POTASIO,   SODIO,   AMONIO,   CALCIO,   MONOSODICO, TRISODICO, SODICO AMONICO; NITRATO DE: SODIO, AMONIO, ALUMINIO, CALCIO, POTASIO, MAGNESIO, ESTRONCIO, BARIO, COBALTO, MANGANESO, PLATA, PLOMO,  ZINC, FERRICO, MERCURIO,   CUPRICO;   SULFATO   DE:   MAGNESIO,   ZINC,   SODIO,   ALUMINIO,   FERRICO, POTASIO, CUPRICO, ALUMINIO Y AMONIO, ALUMINIO Y POTASIO, AMONIO, BARIO, CALCIO, COBRE,   LITIO,   MANGANESO,   PLATA,   FERROSO,   MANGANOSO,   FERROSO   AMONICO, FERRICO  AMONICO,  MERCURICO,  MERCUROSO;  OXIDO  DE  MERCURIO;  HIDROXIDO  DE AMONIO;   ACIDO:   BORICO,   CITRICO,   OXALICO,   PICRICO;   BICARBONATO   DE   SODIO; BIFTALATO  DE  POTASIO;  BISULFATO  DE:  AMONIO,  POTASIO,  SODIO;  BORATO  DE  SODIO; BROMURO DE: POTASIO, SODIO, ZINC; CARBONATO DE: BARIO, ESTRONCIO, LITIO, PLOMO, POTASIO,  SODIO;  CITRATO  DE:  AMONIO,  POTASIO,  SODIO;  COBALTONITRITO  DE  SODIO; CROMATO  DE:  POTASIO,  SODIO;  DICROMATO  DE:  AMONIO,  POTASIO;  EDTA:  ACIDA,  SAL DISODICA;  OXALATO  DE:  AMONIO,  POTASIO,  SODIO;  PIROFOSFATO  DE:  POTASIO,  SODIO; PIROSULFATO  DE  POTASIO;  FENOL;  FLUORURO  DE:  AMONIO,  CALCIO;  TARTRATO  DE: POTASIO,   SODIO;   TIOCIANATO   DE   SODIO;   TIOSULFATO   DE   SODIO;   UREA;   YODURO MERCURICO; ZINC.",,,,,,
83,,PROSI- PVS CHEMICALS S.A. DE C.V.,,,,SALAMANCA ESQ SAN MIGUEL DE ALLENDE,CD. INDUSTRIAL,IRAPUATO,36541,GUANAJUATO,08FQBI110170022,21/10/2008,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,,,,,,,
84,,QUIMICA AMTEX S.A. DE C.V.,,,,KM 2 CARRETERA AMOMOLULCO-OCOYOACAC,BARRIO DE SANTA CLARA,OCOYOACAC,,MEXICO,98AR10E,26/11/1998,PRODUCTOS QUIMICOS BASICOS ORGANICOS; FABRICA DEa|,,,,,,,,,,
85,,QUIMICA CENTRAL DE MEXICO S.A. DE C.V.,,,,KM.   13.5   CARRE.    LEON-SAN   FRANCISCO   DEL RINCON,S/C,SAN FRANCISCO DEL RINCON,36300,GUANAJUATO,03FQBI110310001,08/07/2003,FABRICACION DE PRODUCTOS QUIMICOS BASIDCO INORGANICOS,,,,NO DISPONIBLE,,,,,,
86,,"QUIMICA ECOSISTEMAS, S.A.DE C.V.",,,,37 ESTE NO. 358,CIVAC,JIUTEPEC,62500,MORELOS,04FQBO170110002,31/08/2004,FABRICACION DE PRODUCTOS QUIMICOS BASICO ORGANICOS,,,,FABRICACION DE PRODUCTOS QUIMICOS DERIVADOS DEL CROMO Y ESTERES DE ACIDOS GRASOS,,,,,,
87,,QUIMICA INDUSTRIAL DEL CENTRO S.A DE C.V.,,,,INDEPENDENCIA NO. 2201,LOS PINOS,LEON,37490,GUANAJUATO,05FQBO110200005,02/02/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"HIDROXIETIL,      HIDRAZINA,      NITRODIACETATO      DE      FURFURAL,      FURAZOLIDONA, NITROFURAZONA, ESPECIALIDADES QUIMICAS (LUBRIBANDA, SUPER Q)",,,,,,
88,,QUIMICA PESQUERIA S.A. DE C.V.,,,,CARRETERA PEMEX-CADEREYTA KM. 19,S/C,PESQUERIA,66683,NUEVO LEON,07FQBOI190410010,05/09/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,FABRICACION DE ACEITES DE USO INDUSTRIAL,,,,,,
89,,QUIMICA SAGAL S.A. DE C.V.,,,,CARRETERA VILLA GARCIA KM 5,VILLA GARCIA,VILLA GARCIA,66000,NUEVO LEON,94AR170E,,FABRICACION Y VENTA DE PRODUCTOS QUIMICOS INDUSTRIALES,,,,"FABRICACION   DE   SULFATO   TRIBASICO   DE   PLOMO,   FTALATO   DIBASICO   DE   PLOMO, FUMARATO   TETRABASICO   DE   PLOMO,   COMPLEJO   DE   PLOMO,  MALEATO   DE  PLOMO, ESTEARATOS DE PLOMO, BARIO, CALCIO Y ZINC.",,,,,,
90,,QUIMICOS Y DERIVADOS S.A. DE C.V.,,,,CARRETERA PANAMERICANA KM. 314,S/C,SALAMANCA,36730,GUANAJUATO,05FQBO110270006,21/02/2005,FARBRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,NO DISPONIBLE,,,,,,
91,,QUIMIR S.A. DE C.V.,,,,KM 1.3 CAMINO PETROLERO EL CHAPO,S/C,COATZACOALCOS,96400,VERACRUZ,05FQBI151090017,16/12/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICIOS,,,,FABRICACION DE ACEITES DE USO INDUSTRIAL,,,,,,
92,,QUIMIR S.A. DE C.V.,,,,KM. 1.3 CAMINO PETROLERO EL CHAPO,S/C,COATZACOALCOS,96400,VERACRUZ,04FQBI300390007,06/09/2004,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS.,,,,SALES INORGANICAS (POLIFOSFATOS),,,,,,
93,,RESIRENE S.A. DE C.V.,,,,KM 1.3. DEL CAMINO PETROLERO EL CHAPO,S/C,COATZACOALCOS,96400,VERACRUZ,03FQBI300390001,17/12/2003,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE TRIPOLIFOSFATO DE SODIO,,,,,,
94,,ROT QUIMICA S.A DE C.V,,,,CARR. MONTERREY-MONCLOVA KM 14,S/C,EL CARMEN,66550,NUEVO LEON.,04FBQI190100001,10/07/2014,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE POLIESTIRENO,,,,,,
95,,SALES DEL BAJIO  S. A DE C. V,,,,CARRETERA PANAMERICANA KM 306.3,S/C,SALAMANCA,36700,GUANAJUATO,03FQBI110270003,17/12/2003,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS.,,,,"HIDRAXIDO  DE  POTASIO  (SOLUCIAN,   ESCAMAS  Y  BRIQUETAS),  ACIDO  CLORHADRICO, CARBONATO  DE  POTASIO  (LIGERO  Y  DENSO),  HIPOCLORITO  DE  SODIO,  HIDRAXIDO  DE SODIO (SOLUCION Y ESCAMAS), CLORO  LIQUIDO Y ACIDO TRICLORO ISOCIANARICO",,,,,,
96,,"SEALED AIR DE MEXICO OPERATIONS, S. DE R.L. DE C.V.",,,,AVENIDA HENRY FORD No. 12,SAN NICOLAS,TLALNEPANTLA DE BAZ,54030,ESTADO DE MAXICO,16FQBI1510406,16/06/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION  DE  PRODUCTOS  QUIMICOS  DE  HIGIENE  INDUSTRIAL  A  BASE  DE  ACIDO SULFURICO Y ACIDO CLORHIDRICO,,,,,,
97,,"SEALED AIR DE MEXICO OPERATIONS, S. DE R.L. DE C.V.",,,,AVENIDA HENRY FORD No. 12,FRACC. IND. SAN NICOLAS,TLALNEPANTLA DE BAZ,54030,ESTADO DE MAXICO,16FQBI1510406,16/06/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACION  DE  ABRASIVOS,  JABONES,  DETERGENTES,  LIMPIADORES  Y  PULIMENTOS  A BASE DE ACIDO SULFURICO Y ACIDO CLORHIDRICO",,,,,,
98,,"SILICATOS ESPECIALES, S.A DE C.V",,,,AV. CENTRAL No. 131,XALOSTOC,ECATEPEC DE MORELOS,,MEXICO,02S150002,,FABRICACION     DE    PRODUCTOS    QUIMICOS    BASICOS    INORGANICOS.    EXLCUSIVAMENTE    PARA PRODUCTOS REGISTRADOS POR EL TITULAR DE LA LIC. SANIT. O PRODUCTOS MAQUILADOS PARA UN TERCERO QUE CUENTE CON REGISTRO DEL PRODUCTO ANTE LA CICOPLAFEST,,,,CARBONATO DE SODIO,,,,,,
99,,"SINTESIS ORGANICAS, S.A. DE C.V.",,,,KM.   154   CARRETERA   MEXICO   VERACRUZ   VAA TEXCOCO,CORREDOR   INDUSTRIAL   SAN COSME XALOZTOC,XALOZTOC,90460,TLAXCALA,16FQBO2903903,02/03/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE ANHIDRIDO FTALICO,,,,,,
100,,"SOLENIS TECHNOLOGIES MEXICO, S. DE R.L. DE C.V.",,,,AV. SARA No. 4553,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,7840,DISTRITO FEDERAL,11FQBO090070006,08/01/2015,FABRICACIAN DE OTROS PRODUCTOS QUAMICOS BASICOS ORGANICOS,,,,DIOCTILFTALATO,,,,,,
101,,"SOLVAY  &  CPC  BARIUM  STRONTIUM  MONTERREY,  S.  DE  R.L. DE C.V.",,,,CARRETERA A VILLA DE GARCIA Km. 8.5,S/C,GARCIA,66000,NUEVO LEON,04FQBI190180002,07/10/2014,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACION  DE ACIDO  FLUORHIDRICO, BIFLUORURO  DE AMONIO,  MONOFLUORURO  DE AMONIO, ACIDO FLUOROSILICICO, SULFATO DE CALCIO",,,,,,
102,,SOLVAY FLUOR MEXICO S. A. DE C. V.,,,,CARRETERA PANAMERICANA KM 23.5,LAS GRANJAS,CIUDAD JUAREZ,32690,CHIHUAHUA,06FQBI080190006,14/12/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACIAN DE SUSTANCIAS RELACIONADAS A RESINAS, PLASTIFICANTES Y MEZCLA DE SUSTANCIAS PARA USO INDUSTRIAL (ADITIVOS PARA EL PAPEL Y TRATAMIENTO DE AGUA PARA USO INDUSTRIAL)",,,,,,
103,,STEPAN MEXICO S.A. DE C.V.,,,,AV. UNIONES Y FTO. NO. 150,ZONA INDUSTRIAL,MATAMOROS,,TAMAULIPAS,02S280001,,"FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS.
EXCLUSIVAMENTE PARA  PRODUCTOS REGISTRADOS  POR EL  TITULAR DE LA LICENCIA  SANITARIA O PRODUCTOS MAQUILADOS PARA UN TERCERO QUE CUENTE CON REGISTRO DE PRODUCTO ANTE LA COMISIAN INTERSECRETARIAL PARA EL CON",,,,"FABRICACIAN  DE  CARBONATO  DE  ESTRONCIO,  SULFURO  DE  SODIO,  SULFHIDRATO  DE SODIO Y NITRATO DE ESTRONCIO",,,,,,
104,,TECSIQUIM S.A DE C.V,,,,CALLE 7 NORTE No. 102,PARQUE  INDUSTRIAL  TOLUCA 2000,TOLUCA,50200,EDO. MEXICO.,05FQBO151060009,01/03/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,NO DISPONIBLE,,,,,,
105,,TEREFTALATOS MEXICANOS S.A. DE C.V.,,,,KM 29 CARRETERA FEDERAL 180,S/C,COSOLEACAQUE,96340,VERACRUZ,06FQBO300480002,24/04/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION  DE  SALES  ORGANICAS  E  INORGANICAS  Y  PURFICACION  DE  SOLVENTES ORGANICOS,,,,,,
106,,THE CHEMOURS COMPANY MEXICO S. DE R.L. DE C.V.,,,,AV. DE LA INDUSTRIA,LAGUNA DE LA PUERTA,ALTAMIRA,89605,TAMAULIPAS,98AR07E,15/12/2015,FABRICA DE PRODUCTOS QUIMICOS BASICO S INORGANICOS,,,,FABRICACION DE DIOXIDO DE TITANIO Y ACIDO CLORHIDRICO,,,,,,
107,,TIBCHEMCORP MEXICANA S.A. DE C.V.,,,,EJE 110 S/N,ZONA INDUSTRIAL,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,99AR01E,04/04/2008,FABRICA DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION ACIDO TEREFTALICO,,,,,,
108,,UNIGEL ACRILICOS S. A. DE C.V.,,,,"PREDIO ENCINO GORDO S/N INT LOTE 4A, 5A, 9A, 10A",COSOLEACAQUE,COLOLEACAQUE,96340,VERACRUZ,09FQBOI300480021,16/01/2009,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS E  INORGANICOS,,,,NO DISPONIBLE,,,,,,
109,,UNIVEX S.A.,,,,KM 306 CARR. PANAMERICANA,COMUNIDAD  LOS  CONEJOS  Y SANTA CATARINA DE FRIAS,SALAMANCA,,GUANAJUATO,98AR06E,,FABRICA DE PRODUCTOS QUIMICOS BASICOS INORGANICOS Y ORGANICOS,,,,FABRICACION DE ACIDO SULFURICO Y METACRILATO DE METILO,,,,,,
110,,"ZINC NACIONAL, S.A.",,,,PEDRO GALINDO No. 101,LOMAS DEL ROBLE,SAN NICOLAS DE LOS GARZA,66450,NUEVO LEON,09FQBI190460018,22/10/2009,FABRICACIAN DE PRODUCTOS QUAMICOS BASICOS INORGANICOS,,,,"FABRICACION DE OXIDO DE ZINC, SULFATO DE ZINC, CADMIO METALICO, CARBONATO DE PLOMO, CONCENTRADO DE FIERRO Y SAL (CLORURO DE SODIO)",,,,,,
